DEVICEID||','||CONTRACTID||','||'"'||DESCRIPTION||'"'||','||LATITUDE||','||LONGITUDE                                                                                                                     
703,401DE0670DWR,"S Victoria Park - 401 W",43.76885439,-79.32146337                                                                                                                                        
704,401DE0680DER,"S Victoria Park - 401 E",43.76761775,-79.32077477                                                                                                                                        
705,401DE0690DWR,"N Victoria Park - 401 w",43.76876037,-79.31892063                                                                                                                                        
706,401DE0700DNR,"TO VICTORIA PARK",43.76878711,-79.31705659                                                                                                                                               
707,401DE0710DER,"FROM VICTORIA PARK",43.76779779,-79.31685842                                                                                                                                             
708,401DE0720DWR,"WARDEN SB - 401 WB",43.77038473,-79.30653215                                                                                                                                             
709,401DE0730DNR,"EB 401 - WARDEN",43.77062436,-79.30492277                                                                                                                                                
710,401DE0740DSR,"E 401 - Warden N",43.77004804,-79.30373135                                                                                                                                               
711,401DE0750DER,"N Warden - 401 E",43.77049649,-79.30135685                                                                                                                                               
712,401DE0760DWR,"KENNEDY SB - 401 WB",43.77455148,-79.28808796                                                                                                                                            
713,401DE0770DSR,"401EB TO KENNEDY",43.77377693,-79.28724134                                                                                                                                               
714,401DE0780DER,"KENNEDY SB - 401 EB",43.77379869,-79.28562933                                                                                                                                            
715,401DE0790DWR,"KENNEDY NB - 401 WB",43.77614781,-79.28357027                                                                                                                                            
716,401DE0800DER,"KENNEDY NB - 401 EB",43.77508868,-79.28188621                                                                                                                                            
717,401DE0810DNR,"401 WB - KENNEDY NB",43.77606163,-79.28218541                                                                                                                                            
718,401DE0820DSR,"401EB - PROGRESS",43.77849264,-79.26603889                                                                                                                                               
719,401DE0830DSR,"401EB - BRIMLEY SOUTH",43.77834658,-79.26597373                                                                                                                                          
720,401DE0840DWR,"BRIMLEY NB - 401 WB",43.78039975,-79.26377989                                                                                                                                            
721,401DE0850DSR,"401EB - MCCOWAN",43.78004979,-79.25809508                                                                                                                                                
722,401DE0860DER,"MCCOWAN SB - 401 EB",43.77984358,-79.25585467                                                                                                                                            
723,401DE0870DWR,"MCCOWAN SB - 401 WB",43.78144238,-79.25645813                                                                                                                                            
724,401DE0880DER,"MCCOWAN NB - 401 EB",43.7809316,-79.25311908                                                                                                                                             
725,401DE0890DWR,"MCCOWAN NB - 401 WB",43.78213051,-79.25380997                                                                                                                                            
726,401DE0900DNR,"401 WB - MCCOWAN",43.78242251,-79.25347061                                                                                                                                               
727,401DE0910DER,"CORPORATE NB - 401 EB",43.78077249,-79.2529797                                                                                                                                           
728,401DE0920DSR,"401 EB - MARKHAM",43.78424899,-79.237579                                                                                                                                                 
729,401DE0930DWR,"MARKHAM SB - 401 WB",43.78576008,-79.23672812                                                                                                                                            
730,401DE0940DER,"MARKHAM SB - 401 EB",43.78426913,-79.23630896                                                                                                                                            
731,401DE0950DWR,"MARKHAM NB - 401 WB",43.78658413,-79.23421869                                                                                                                                            
732,401DE0960DER,"MARKHAM NB - 401 EB",43.7857239,-79.23287176                                                                                                                                             
733,401DE0970DNR,"401 WB - MARKHAM",43.7868691,-79.2327805                                                                                                                                                 
734,401DE0980DSR,"401 EB TO NEILSON",43.79208579,-79.21863098                                                                                                                                              
735,401DE0990DWR,"NEILSON SB - 401 WB",43.79417813,-79.21677257                                                                                                                                            
736,401DE1000DWR,"NEILSON NB - 401 WB",43.79462536,-79.21483843                                                                                                                                            
737,401DE1010DER,"NEILSON - 401 EB",43.79355632,-79.21332382                                                                                                                                               
738,401DE1020DNR,"401 WB - NEILSON",43.79465171,-79.21313838                                                                                                                                               
739,401DE1030DSR,"401EB - MORNINGSIDE",43.79523475,-79.20237687                                                                                                                                            
740,401DE1040DWR,"MORININGSIDE SB - 401 WB",43.79619916,-79.2017148                                                                                                                                        
741,401DE1050DER,"MORNINGSIDE S. - 401 E.",43.79512476,-79.19797817                                                                                                                                        
742,401DE1060DER,"NB MORNINGSIDE-401EB",43.79593697,-79.1954608                                                                                                                                            
743,401DE1070DWR,"NB MORNINGSIDE-401WB",43.79715517,-79.19619384                                                                                                                                           
744,401DE1080DNR,"WB401-MORNINGSIDE",43.79747225,-79.19422228                                                                                                                                              
745,401DE1090DWR,"SB MEADOWVALE-401WB",43.80059847,-79.1694582                                                                                                                                             
746,401DE1110DSR,"EB401-MEADOWVALE",43.79938889,-79.16953333                                                                                                                                               
747,401DE1120DER,"SB MEADOWVALE-401EB",43.79906132,-79.16705334                                                                                                                                            
748,401DE1130DWR,"NB MEADOWVALE-401WB",43.7998983,-79.16563918                                                                                                                                             
749,401DE1140DNR,"WB401-MEADOWVALE",43.79922178,-79.16367885                                                                                                                                               
750,401DE1150DSR,"EB401-KINGSTON ROAD",43.7954519,-79.1554595                                                                                                                                              
751,401DE1160DWR,"KINGSTON-WB 401",43.7961555,-79.15387524                                                                                                                                                 
752,401DE1170DER,"EB HWY2A-401EB",43.79522798,-79.1493267                                                                                                                                                  
753,401DE1180DER,"SB PORT UNION-401EB",43.79666589,-79.14511449                                                                                                                                            
754,401DE1190DWR,"PORT UNION - 401 WB",43.79878412,-79.14418268                                                                                                                                            
755,401DE1200DWR,"401WB-HWY 2A WB",43.79889937,-79.14357756                                                                                                                                                
756,401DE1210DNR,"401WB-KINGSTON ROAD",43.79986546,-79.14266212                                                                                                                                            
757,401DE1220DER,"PORT UNION - 401 EB",43.80108218,-79.13856187                                                                                                                                            
758,401DE1230DSR,"EB401-WHITES",43.81385857,-79.11794566                                                                                                                                                   
759,401DE1240DWR,"SB WHITES-401WB",43.8157145,-79.11692932                                                                                                                                                 
760,401DE1250DER,"SB WHITES-EB 401",43.81523722,-79.11548663                                                                                                                                               
761,401DE1260DWR,"NB WHITES-401WB",43.81806746,-79.11367122                                                                                                                                                
762,401DE1270DER,"NB WHITES - EB 401",43.81791974,-79.11166485                                                                                                                                             
763,401DE1280DWR,"HWY2-401WB",43.82030104,-79.1102409                                                                                                                                                      
764,401DE1290DNR,"WB401-HWY 2",43.82157636,-79.10851621                                                                                                                                                    
765,401DE1300DWR,"SB LIVERPOOL-401WB",43.82976347,-79.09140787                                                                                                                                             
766,401DE1310DWR,"NB LIVERPOOL-401WB",43.83165661,-79.08764399                                                                                                                                             
767,401DE1320DNR,"WB401-LIVERPOOL",43.83214287,-79.08661588                                                                                                                                                
768,401DE1330DSR,"EB 401-BROCK",43.83603377,-79.07557721                                                                                                                                                   
769,401DE1340DWR,"SB BROCK - 401WB",43.83865866,-79.07229238                                                                                                                                               
770,401DW0010DER,"RAMP S 400 - 401EC",43.71584104,-79.51591001                                                                                                                                             
771,401DW0010DNF,"400 N OF 401",43.71725207,-79.51890369                                                                                                                                                   
772,401DW0020DER,"RAMP N 400 - 401EC",43.71604434,-79.51597892                                                                                                                                             
773,401DW0020DSF,"S OF HWY401",43.71572712,-79.51997159                                                                                                                                                    
774,401DW0020DWR,"410N TO 401W COLL",.1,.1                                                                                                                                                                 
775,401DW0030DNR,"E. EGLINTON - HWY 427 N.",43.67262861,-79.57939555                                                                                                                                       
776,401DW0030DWR,"RAMP S400 - 401W",43.71713648,-79.51749262                                                                                                                                               
777,401DW0040DNF,"HWY 427 NB",43.67239203,-79.57935267                                                                                                                                                     
778,401DW0040DNR,"E. EGLINTON - HWY 427 N.",43.67173474,-79.58560807                                                                                                                                       
779,401DW0040DSR,"RAMP 401E - 400S",43.7179773,-79.51784892                                                                                                                                                
780,401DW0050DER,"N. HWY 427-EGLINTON E.",43.67011365,-79.58494282                                                                                                                                         
781,401DW0050DNR,"RAMP E401 - 400N",43.71809593,-79.51779806                                                                                                                                               
782,401DW0060DNF,"HWY 427 NB",43.67160659,-79.58556955                                                                                                                                                     
783,401DW0060DNR,"RAMP W401-400N",43.71719755,-79.51904992                                                                                                                                                 
784,401DW0060DSF,"HWY 427 SB.",43.66998941,-79.58490811                                                                                                                                                    
785,401DW0070DNR,"W. 401 - 427 N.",43.67266316,-79.58944665                                                                                                                                                
786,401DW0070DSR,"RAMP W401 - BLACK CREEK",43.71496216,-79.52026032                                                                                                                                        
787,401DW0080DNF,"HWY 427 N. N.0F 401",43.67447344,-79.5916625                                                                                                                                             
788,401DW0080DWR,"RAMP N400 - 401W",43.71676017,-79.52101404                                                                                                                                               
789,401DW0090DER,"RAMP N.427-EGLINTON E.",43.67442137,-79.59190603                                                                                                                                         
790,401DW0090DNF,"HWY 427 NB.",43.66992196,-79.57424069                                                                                                                                                    
791,401DW0090DSR,"W OF 400",43.71540229,-79.52407602                                                                                                                                                       
792,401DW0100DNR,"RAMP W401 - 400N",43.71563121,-79.52345595                                                                                                                                               
793,401DW0100DSF,"HWY 427 S. S.OF 401",43.67021927,-79.57602299                                                                                                                                            
794,401DW0110DNR,"RAMP E401 - WESTON",43.71450492,-79.53348846                                                                                                                                             
795,401DW0120DER,"S WESTON - 401EC",43.7134227,-79.53383631                                                                                                                                                
796,401DW0130DWR,"RAMP S WESTON - 401W",43.71390699,-79.53543161                                                                                                                                           
797,401DW0140DER,"RAMP N WESTON - 401EC",43.71243153,-79.53719355                                                                                                                                          
798,401DW0150DSR,"RAMP W 401 - WESTON",43.71192827,-79.53765417                                                                                                                                            
799,401DW0160DWR,"RAMP N WESTON - 401",43.71305467,-79.53929772                                                                                                                                            
800,401DW0170DWR,"RAMP E 401 - 409W",43.71118967,-79.54842558                                                                                                                                              
801,401DW0180DWR,"RAMP E 401WE - 409W",43.71108643,-79.5483703                                                                                                                                             
802,401DW0190DER,"RAMP S ISLINGTON",43.70957745,-79.54967573                                                                                                                                               
803,401DW0200DSR,"RAMP E 401 - ISLINGTON",43.70994662,-79.55300143                                                                                                                                         
804,401DW0210DSR,"RAMP E401 - 409W",43.70931021,-79.55397249                                                                                                                                               
805,401DW0220DSR,"RAMP E401 - 409W",43.70931021,-79.55397249                                                                                                                                               
806,401DW0230DNR,"RAMP W401 - KIPLING",43.70786527,-79.55381986                                                                                                                                            
807,401DW0240DWR,"RAMP N ISLINGTON - 401W",43.70833621,-79.55526294                                                                                                                                        
808,401DW0250DER,"RAMP W409 - 401EE",43.7069574,-79.55545644                                                                                                                                               
809,401DW0260DER,"W409 - 401EC",43.70689294,-79.55533407                                                                                                                                                   
810,401DW0270DER,"RAMP S DIXON RD - 401",43.69411804,-79.56697829                                                                                                                                          
811,401DW0280DNR,"RAMP E401 - DIXON RD",43.69344021,-79.56874022                                                                                                                                           
812,401DW0290DWR,"S DIXON RD - 401",43.69233485,-79.56948926                                                                                                                                               
813,401DW0300DER,"RAMP N DIXON RD - 401",43.69139537,-79.56906989                                                                                                                                          
814,401DW0310DSR,"RAMP W401 - DIXON RD",43.69028613,-79.56930427                                                                                                                                           
815,401DW0320DWR,"RENFORTH - HWY 401 W.",43.68926693,-79.57132668                                                                                                                                          
816,401DW0330DSR,"E. HWY 401- HWY 427 S.",43.67939578,-79.57706619                                                                                                                                         
817,401DW0340DER,"S. HWY 427 - HWY 401 E.",43.67811172,-79.57666834                                                                                                                                        
818,401DW0340DSR,"E. HWY 401- HWY 427 S.",43.6757584,-79.57926498                                                                                                                                          
819,401DW0350DNR,"E. HWY 401- CARLINGVIEW",43.67505641,-79.57927651                                                                                                                                        
820,401DW0360DER,"N. CARLINGVIEW-HWY 401 E",43.67359001,-79.57967087                                                                                                                                       
821,401DW0360DWR,"S. HWY 427 - HWY 401 W.",43.67139499,-79.58552966                                                                                                                                        
822,401DW0370DSR,"W. HWY 401- HWY 427 S.",43.67005257,-79.5838293                                                                                                                                          
823,401DW0380DER,"TO EGLINTON",43.6705482,-79.58490942                                                                                                                                                     
824,401DW0390DER,"RAMP S.427-EGLINTON E.",43.67085546,-79.57298511                                                                                                                                         
825,401DW0390DWR,"E. EGLINTON - HWY 401 W.",43.66920738,-79.5906709                                                                                                                                        
826,401DW0400DSR,"RAMP E.EGLINTON-HWY27 S.",43.67428016,-79.57540634                                                                                                                                       
827,401DW0400DWR,"FROM HWY 427 NB",43.66936713,-79.59068615                                                                                                                                                
828,401DW0410DSR,"HWY27 S. S.0F 401",43.67463673,-79.57510992                                                                                                                                              
829,401DW0410DWR,"FROM HWY 427 SB",43.6694671,-79.59077844                                                                                                                                                 
830,401DW0420DSR,"W. HWY 401 - HWY 427 S.",43.66809731,-79.59057801                                                                                                                                        
831,401DW0420DWR,"RAMP N.RENFORTH-401W",43.66732475,-79.59639035                                                                                                                                           
832,401DW0430DNR,"W. HWY 401-HWY 427 N.",43.66830137,-79.59071191                                                                                                                                          
833,401DW0430DWR,"E-NS DIXIE RAMP",43.64997698,-79.63473388                                                                                                                                                
834,401DW0440DER,"RAMP W.401-RENFORTH AVE.",43.66661206,-79.59528661                                                                                                                                       
835,401DW0440DWR,"N-W DIXIE RAMP",43.64803771,-79.63985854                                                                                                                                                 
836,401DW0450DER,"RAMP S.427-401 E.",43.67372337,-79.57697834                                                                                                                                              
837,401DW0450DWR,"S-W DIXIE RAMP",43.64792067,-79.63975952                                                                                                                                                 
838,401DW0451DER,"S-E DIXIE RAMP",43.64849246,-79.63492205                                                                                                                                                 
839,401DW0460DER,"RAMP S.427-401 E.",43.66996822,-79.5739848                                                                                                                                               
840,401DW0461DER,"N-E DIXIE RAMP",43.64727168,-79.63800581                                                                                                                                                 
841,401DW0470DSR,"E. HWY 401 - HWY 427 S.",43.67036687,-79.57582235                                                                                                                                        
842,401DW0471DER,"RAMP TO DIXIE",43.63898864,-79.65784977                                                                                                                                                  
843,401DW0010DES,"W OF KIPLING",43.69840591,-79.5634309                                                                                                                                                    
844,401DW0020DES,"E OF MARTINGROVE",43.69421445,-79.56714436                                                                                                                                               
845,401DW0030DES,"E OF MARTINGROVE",43.69126819,-79.56953178                                                                                                                                               
846,401DW0040DES,"W OF MARTIN GROVE",43.68647204,-79.57235041                                                                                                                                              
847,401DW0050DES,"E OF HWY27",43.68180381,-79.57493922                                                                                                                                                     
848,401DW0060DES,"NEAR HWY 27",43.67826345,-79.57684427                                                                                                                                                    
849,401DW0070DES,"W OF HWY 27",43.67380558,-79.5798861                                                                                                                                                     
850,401DW0080DES,"E OF RENFORTH DR",43.6707713,-79.58506185                                                                                                                                                
851,401DE0020DET,"E OF ALLEN RD",43.73040965,-79.44417322                                                                                                                                                  
852,401DE0030DET,"E OF AVENUE RD",43.74876414,-79.41504168                                                                                                                                                 
853,401DE0050DET,"E of Bayview",43.7648144,-79.37840702                                                                                                                                                    
854,401DE0070DET,"E of Leslie",43.76700744,-79.34107514                                                                                                                                                    
855,401DE0090DET,"E OF WARDEN",43.7712509,-79.29935802                                                                                                                                                     
856,401DE0110DET,"E. OF MIDLAND",43.77786681,-79.2706301                                                                                                                                                   
857,401DE0130DET,"E. OF MCCOWAN",43.78202607,-79.24899787                                                                                                                                                  
858,401DE0150DET,"E. OF MARKHAM",43.79193486,-79.21989199                                                                                                                                                  
859,401DE0170DET,"E. OF MORNINGSIDE",43.79650337,-79.19512582                                                                                                                                              
860,401DE0190DET,"AT MEADOWVALE",43.79977932,-79.17031962                                                                                                                                                  
861,401DE0210DET,"E. OF PORT UNION",43.8012933,-79.13879827                                                                                                                                                
862,401DE0240DET,"E. OF WHITES",43.81890209,-79.11075999                                                                                                                                                   
863,401DW0030DET,"E OF JANE",43.71829004,-79.50052254                                                                                                                                                      
864,401DW0040DET,"E OF JANE",43.7179799,-79.5000872                                                                                                                                                        
865,401DW0050DET,"TRANSFER(COL TO EXP)",43.6592461,-79.61387465                                                                                                                                            
866,401DW0060DET,"TRANSFER(EXP TO COL)",43.65890567,-79.61351106                                                                                                                                           
868,401DE0560DWC,"W. OF BROCK",43.83492681,-79.07988062                                                                                                                                                    
869,401DE0550DWC,"LIVERPOOL",43.83182083,-79.08653045                                                                                                                                                      
870,401DE0540DWC,"W. OF LIVERPOOL",43.82927415,-79.092065                                                                                                                                                  
871,401DE0530DWC,"CN RAIL",43.82518797,-79.10095214                                                                                                                                                        
872,401DE0520DWC,"E. OF WHITES",43.82142176,-79.10836676                                                                                                                                                   
873,401DE0510DWC,"WHITES",43.81718697,-79.11426361                                                                                                                                                         
874,401DE0500DWC,"W. OF WHITES",43.81204345,-79.12228157                                                                                                                                                   
875,401DE0490DWC,"ROUGEMOUNT",43.80839664,-79.12836373                                                                                                                                                     
876,401DE0480DWC,"PORT UNION",43.80558437,-79.13326498                                                                                                                                                     
877,401DE0470DWC,"E. OF PORT UNION",43.80153829,-79.1398121                                                                                                                                                
878,401DE0460DWC,"PORT UNION",43.79707323,-79.14615783                                                                                                                                                     
879,401DE0450DWC,"W. OF KINGSTON ROAD",43.79703525,-79.15800285                                                                                                                                            
880,401DE0440DWC,"MEADOWVALE",43.79903965,-79.16378485                                                                                                                                                     
881,401DE0430DWC,"NEAR MEADOWVALE",43.80039455,-79.17133491                                                                                                                                                
882,401DE0420DWC,"W. OF MEADOWVALE",43.79926144,-79.17964368                                                                                                                                               
883,401DE0410DWC,"COLLINS",43.79818857,-79.18677687                                                                                                                                                        
884,401DE0400DWC,"NEAR MORNINGSIDE",43.79728813,-79.19416698                                                                                                                                               
885,401DE0390DWC,"E. OF MORNINGSIDE",43.79600983,-79.20166488                                                                                                                                              
886,401DE0380DWC,"W. OF NEILSON",43.79497657,-79.20894252                                                                                                                                                  
887,401DE0370DWC,"AT NEILSON",43.79372682,-79.21677412                                                                                                                                                     
888,401DE0360DWC,"W. OF NEILSON",43.78972451,-79.2251331                                                                                                                                                   
889,401DE0350DWC,"E. OF MARKHAM",43.78646693,-79.23311222                                                                                                                                                  
890,401DE0340DWC,"AT MARKHAM",43.78515251,-79.23760766                                                                                                                                                     
891,401DE0330DWC,"W. OF MARKHAM",43.78324748,-79.24619531                                                                                                                                                  
892,401DE0320DWC,"AT MCCOWAN",43.78164557,-79.25381888                                                                                                                                                     
893,401DE0310DWC,"AT BRIMLEY",43.77969,-79.26404501                                                                                                                                                        
894,401DE0300DWC,"AT MIDLAND",43.77781997,-79.27328772                                                                                                                                                     
895,401DE0290DWC,"AT KENNEDY",43.77575976,-79.28216686                                                                                                                                                     
896,401DE0280DWC,"AT KENNEDY",43.77430765,-79.28847969                                                                                                                                                     
897,401DE0270DWC,"W OF KENNEDY",43.77205348,-79.2986087                                                                                                                                                    
898,401DE0260DWC,"W of Warden",43.77048709,-79.30486002                                                                                                                                                    
899,401DE0250DWC,"W of Warden",43.76903925,-79.31138833                                                                                                                                                    
900,401DE0240DWC,"W of Warden",43.76857738,-79.31841585                                                                                                                                                    
901,401DE0230DWC,"W of Victoria Park",43.76855069,-79.3265459                                                                                                                                              
902,401DE0220DWC,"W of Victoria Park",43.76826093,-79.33531943                                                                                                                                             
903,401DE0210DWC,"W of Hwy 404/DVP",43.76769268,-79.34334712                                                                                                                                               
904,401DE0200DWC,"W of Hwy 404/DVP",43.76706365,-79.35247298                                                                                                                                               
905,401DE0190DWC,"W of Hwy 404/DVP",43.76658378,-79.36140002                                                                                                                                               
906,401DE0180DWC,"W of Leslie",43.76622696,-79.36957806                                                                                                                                                    
907,401DE0170DWC,"E of Bayview",43.76554067,-79.37770498                                                                                                                                                   
908,401DE0160DWC,"E of Bayview",43.76371369,-79.38610234                                                                                                                                                   
909,401DE0150DWC,"W of Bayview",43.76150754,-79.3951832                                                                                                                                                    
910,401DE0140DWC,"E of Yonge",43.76068354,-79.39719448                                                                                                                                                     
911,401DE0130DWC,"E OF YONGE",43.7544586,-79.40738873                                                                                                                                                      
912,401DE0120DWC,"W OF YONGE",43.74990201,-79.41452477                                                                                                                                                     
913,401DE0110DWC,"W OF YONGE",43.74711321,-79.41716439                                                                                                                                                     
914,401DE0100DWC,"E OF AVENUE",43.74329261,-79.42232363                                                                                                                                                    
915,401DE0090DWC,"E OF BATHURST",43.73930155,-79.4288055                                                                                                                                                   
916,401DE0080DWC,"E OF BATHURST",43.73548388,-79.43525631                                                                                                                                                  
917,401DE0070DWC,"E OF ALLEN",43.73275543,-79.44090624                                                                                                                                                     
918,401DE0060DWC,"E OF ALLEN",43.73052303,-79.44740792                                                                                                                                                     
919,401DE0050DWC,"W OF ALLEN",43.72955697,-79.45362337                                                                                                                                                     
920,401DE0040DWC,"W OF DUFFERIN",43.72747877,-79.46168022                                                                                                                                                  
921,401DE0030DWC,"E OF DUFFERIN",43.72578401,-79.46951696                                                                                                                                                  
922,401DE0020DWC,"E OF KEELE",43.72380043,-79.47767715                                                                                                                                                     
923,401DE0010DWC,"W OF KEELE",43.72209388,-79.48473123                                                                                                                                                     
924,401DW0010DWC,"E OF BASKET WEAVE",43.72058323,-79.49104099                                                                                                                                              
